,site,date,PRCP,TMAX,TMIN
2049,washingtondc,1955-08-12,138.2,23.9,20.6
4979,washingtondc,1963-08-20,122.7,29.4,19.4
6100,washingtondc,1966-09-14,103.4,23.3,18.9
7142,washingtondc,1969-07-22,110.5,31.1,22.2
7494,washingtondc,1970-07-09,119.1,31.7,20.6
8207,washingtondc,1972-06-21,155.2,25.6,18.9
9755,washingtondc,1976-09-16,120.9,27.2,21.1
20629,washingtondc,2006-06-25,131.8,26.7,21.1
20630,washingtondc,2006-06-26,107.2,27.2,21.7
22187,washingtondc,2010-09-30,118.4,27.2,18.9
25038,washingtondc,2018-07-21,101.6,23.9,19.4
26487,washingtondc,2022-07-09,102.9,25.0,21.7
27832,kyoto,1951-07-15,111.7,25.6,21.7
28176,kyoto,1952-06-23,137.6,23.3,17.7
28185,kyoto,1952-07-02,126.1,23.8,19.7
28193,kyoto,1952-07-10,114.1,27.8,21.3
28525,kyoto,1953-06-07,123.9,23.4,21.8
28566,kyoto,1953-07-18,103.2,25.8,23.8
28635,kyoto,1953-09-25,110.6,26.5,21.9
28912,kyoto,1954-06-29,110.6,27.3,20.4
30006,kyoto,1957-06-27,108.5,22.8,19.8
30394,kyoto,1958-07-20,113.0,28.2,24.6
30481,kyoto,1958-10-15,115.5,23.0,18.6
30783,kyoto,1959-08-13,288.6,27.3,22.5
30827,kyoto,1959-09-26,100.7,26.4,21.5
31148,kyoto,1960-08-12,134.9,33.4,24.9
31165,kyoto,1960-08-29,180.3,30.2,24.5
31589,kyoto,1961-10-27,140.4,23.0,15.9
33010,kyoto,1965-09-17,148.9,24.3,18.3
33670,kyoto,1967-07-09,183.6,24.3,21.0
34029,kyoto,1968-07-02,114.5,22.7,20.0
34076,kyoto,1968-08-18,158.5,31.9,22.3
34387,kyoto,1969-06-25,137.0,26.2,18.1
35190,kyoto,1971-09-06,184.5,25.7,21.0
35500,kyoto,1972-07-12,165.5,26.8,21.7
35566,kyoto,1972-09-16,161.0,24.1,21.3
37020,kyoto,1976-09-09,106.0,26.7,20.7
38467,kyoto,1980-08-26,117.0,32.7,23.2
38875,kyoto,1981-10-08,112.0,19.1,17.6
39495,kyoto,1983-06-20,138.5,22.4,18.6
39595,kyoto,1983-09-28,258.0,21.4,18.8
40231,kyoto,1985-06-25,101.0,24.5,22.2
40611,kyoto,1986-07-10,117.0,26.6,20.7
40623,kyoto,1986-07-22,102.5,30.1,21.5
40980,kyoto,1987-07-14,111.5,29.9,23.7
41762,kyoto,1989-09-03,138.0,23.0,21.1
41778,kyoto,1989-09-19,123.5,25.9,18.5
43147,kyoto,1993-06-19,106.9,23.6,19.9
43163,kyoto,1993-07-05,130.6,24.6,19.0
43192,kyoto,1993-08-03,106.9,24.4,22.1
43839,kyoto,1995-05-12,152.9,21.6,12.1
44654,kyoto,1997-08-04,131.25,34.6,23.866666666666667
44655,kyoto,1997-08-05,174.0,33.1,22.733333333333334
44656,kyoto,1997-08-06,168.721875,31.6,21.6
44657,kyoto,1997-08-07,163.44375,33.05,24.0
44658,kyoto,1997-08-08,158.165625,34.5,25.7
45076,kyoto,1998-09-30,159.0,28.9,23.3
45092,kyoto,1998-10-16,190.0,23.3,20.35
45093,kyoto,1998-10-17,108.0,25.85,19.6
45346,kyoto,1999-06-27,122.9,26.9,19.975
45349,kyoto,1999-06-30,136.1,25.6,19.366666666666667
45788,kyoto,2000-09-11,112.0,23.9,22.2
49381,kyoto,2010-07-14,116.6,25.6,22.7
49410,kyoto,2010-08-12,136.9,28.3,24.3
50113,kyoto,2012-07-15,117.6,34.8,23.2
50541,kyoto,2013-09-16,220.0,27.0,19.1
50876,kyoto,2014-08-17,116.6,34.5,25.5
51211,kyoto,2015-07-18,258.1,30.4,21.4
51640,kyoto,2016-09-19,113.5,26.9,20.56
52295,kyoto,2018-07-06,130.0,24.6,22.1
52701,kyoto,2019-08-16,110.0,33.525,26.0
53430,kyoto,2021-08-14,113.0,27.2,22.35
53769,kyoto,2022-07-19,166.1,27.6,23.7
53799,kyoto,2022-08-18,101.1,32.2,23.25
54161,kyoto,2023-08-15,122.9,27.1,24.975
54448,kyoto,2024-05-28,156.0,20.2,13.15
91690,vancouver,1982-01-19,111.3,4.7,0.8
91974,vancouver,1982-10-30,101.1,11.0,3.3
109670,newyorkcity,1955-08-12,162.6,22.2,20.6
109671,newyorkcity,1955-08-13,104.6,27.8,20.6
115529,newyorkcity,1971-08-27,120.1,22.2,18.3
115968,newyorkcity,1972-11-08,112.3,14.4,8.3
117794,newyorkcity,1977-11-08,106.7,12.8,11.1
121306,newyorkcity,1987-06-21,101.6,24.4,19.4
125776,newyorkcity,1999-09-16,117.6,24.4,15.6
127994,newyorkcity,2005-10-12,111.5,15.6,12.2
128544,newyorkcity,2007-04-15,169.9,13.3,5.6
130126,newyorkcity,2011-08-14,167.6,24.4,19.4
131116,newyorkcity,2014-04-30,133.6,9.4,5.6
133797,newyorkcity,2021-09-01,172.7,26.7,18.3
134555,newyorkcity,2023-09-29,104.1,17.2,15.0
