site,bio_year,cp,gdd
kyoto,1951,1161.0,3662.2000000000007
kyoto,1952,1916.0,3749.299999999999
kyoto,1953,1727.0,3732.950000000001
kyoto,1954,1613.0,3827.6
kyoto,1955,1530.0,4000.8500000000017
kyoto,1956,1794.0,3788.600000000001
kyoto,1957,1944.0,3742.850000000001
kyoto,1958,1640.0,3884.2500000000023
kyoto,1959,1431.0,4030.5500000000006
kyoto,1960,1575.0,3887.35
kyoto,1961,1653.0,3938.750000000001
kyoto,1962,1636.0,3784.3500000000017
kyoto,1963,1848.0,3836.300000000002
kyoto,1964,1744.0,4013.599999999999
kyoto,1965,1954.0,3646.7999999999993
kyoto,1966,1660.0,3860.3
kyoto,1967,1736.0,3999.499999999999
kyoto,1968,1781.0,3780.749999999999
kyoto,1969,1721.0,3862.5499999999993
kyoto,1970,1880.0,3791.45
kyoto,1971,1851.0,3923.4000000000015
kyoto,1972,1569.0,4011.500000000001
kyoto,1973,1612.0,4123.600000000001
kyoto,1974,2058.0,3873.749999999999
kyoto,1975,1850.0,3866.5
kyoto,1976,1731.0,3817.299999999999
kyoto,1977,1733.0,3881.100000000001
kyoto,1978,1739.0,3934.447355009687
kyoto,1979,1548.0,3975.1499999999983
kyoto,1980,1782.0,3694.6499999999983
kyoto,1981,1837.0,3815.65
kyoto,1982,1883.0,3870.5
kyoto,1983,1610.0,3953.8499999999985
kyoto,1984,2135.0,3799.250000000001
kyoto,1985,1733.0,4029.150000000001
kyoto,1986,1952.0,3805.400000000001
kyoto,1987,1817.0,3988.449999999999
kyoto,1988,1803.0,3827.749999999998
kyoto,1989,1698.0,4017.9499999999994
kyoto,1990,1620.0,4123.7899710648135
kyoto,1991,1703.0,3952.5935119047617
kyoto,1992,1589.0,3864.612291666665
kyoto,1993,1786.0,3737.966424675654
kyoto,1994,1873.0,4105.2277843802085
kyoto,1995,1692.0,3895.2985584484577
kyoto,1996,2013.0,3870.086229238541
kyoto,1997,1804.0,3976.27578627599
kyoto,1998,1556.0,4235.425
kyoto,1999,1678.0,3981.6239113320216
kyoto,2000,1861.0,3991.916623498497
