site,year,month,tavg_anom_c,tmax_anom_c,tmin_anom_c
washingtondc,2026,3,2.43,3.5,3.87
washingtondc,2026,4,-2.5,-2.73,-1.27
washingtondc,2026,5,-0.89,-1.09,0.08
kyoto,2026,3,1.01,1.99,2.22
kyoto,2026,4,-1.31,-1.98,0.27
kyoto,2026,5,-2.09,-3.19,-0.59
liestal,2026,3,-2.44,-0.82,-2.2
liestal,2026,4,-5.5,-6.06,-4.55
liestal,2026,5,-1.11,-1.68,-1.32
vancouver,2026,3,-0.97,-1.2,-0.04
vancouver,2026,4,-0.09,-0.39,1.41
vancouver,2026,5,-2.14,-2.74,-0.86
newyorkcity,2026,3,1.77,4.23,1.26
newyorkcity,2026,4,-2.5,-2.01,-2.32
newyorkcity,2026,5,-2.23,-2.41,-1.61
