date,PRCP,TAVG,TMAX,TMIN
1951-01-01,0.0,4.6000000000000005,7.9,1.3
1951-01-02,0.0,2.85,6.9,-1.2
1951-01-03,0.0,2.6,8.5,-3.3
1951-01-04,0.0,1.7999999999999998,5.1,-1.5
1951-01-05,0.0,4.4,7.4,1.4
1951-01-06,0.0,3.7,8.9,-1.5
1951-01-07,0.7,4.0,6.7,1.3
1951-01-08,0.0,5.25,11.1,-0.6
1951-01-09,4.4,4.95,10.6,-0.7
1951-01-10,24.4,6.8,8.5,5.1
1951-01-11,0.0,6.9,9.6,4.2
1951-01-12,0.0,4.55,8.5,0.6
1951-01-13,0.0,0.85,3.4,-1.7
1951-01-14,2.4,1.1999999999999997,4.1,-1.7
1951-01-15,0.0,2.65,7.0,-1.7
1951-01-16,0.0,2.25,9.1,-4.6
1951-01-17,0.5,4.199999999999999,11.1,-2.7
1951-01-18,0.0,5.7,12.3,-0.9
1951-01-19,12.2,4.8,7.7,1.9
1951-01-20,0.9,8.3,12.3,4.3
1951-01-21,0.3,0.8499999999999999,4.3,-2.6
1951-01-22,0.6,-0.050000000000000044,3.5,-3.6
1951-01-23,0.0,0.75,6.9,-5.4
1951-01-24,0.0,5.5,9.4,1.6
1951-01-25,0.0,5.35,9.5,1.2
1951-01-26,0.0,3.5,7.5,-0.5
1951-01-27,0.0,3.9,8.1,-0.3
1951-01-28,0.0,3.5,9.9,-2.9
1951-01-29,0.0,4.949999999999999,12.7,-2.8
1951-01-30,0.0,5.4,12.3,-1.5
1951-01-31,0.1,6.35,12.2,0.5
1951-02-01,0.0,6.5,13.5,-0.5
1951-02-02,0.1,5.65,14.3,-3.0
1951-02-03,0.5,2.35,5.4,-0.7
1951-02-04,2.3,1.1,4.5,-2.3
1951-02-05,0.4,1.3,6.0,-3.4
1951-02-06,1.1,-0.25,3.1,-3.6
1951-02-07,0.8,2.45,6.7,-1.8
1951-02-08,0.0,3.1499999999999995,8.7,-2.4
1951-02-09,15.7,5.699999999999999,9.1,2.3
1951-02-10,0.4,7.199999999999999,12.7,1.7
1951-02-11,0.0,3.0500000000000003,6.7,-0.6
1951-02-12,0.1,2.5999999999999996,8.1,-2.9
1951-02-13,0.5,3.4499999999999997,7.1,-0.2
1951-02-14,11.8,0.85,3.4,-1.7
1951-02-15,0.9,3.4000000000000004,5.7,1.1
1951-02-16,0.0,2.55,5.5,-0.4
1951-02-17,0.6,4.1,8.7,-0.5
1951-02-18,0.0,3.0500000000000003,8.9,-2.8
1951-02-19,0.0,7.05,12.2,1.9
1951-02-20,0.8,3.9499999999999997,8.7,-0.8
1951-02-21,0.0,6.449999999999999,16.4,-3.5
1951-02-22,14.0,10.5,14.8,6.2
1951-02-23,0.0,11.5,19.6,3.4
1951-02-24,1.2,10.5,14.1,6.9
1951-02-25,26.5,8.8,12.1,5.5
1951-02-26,0.4,9.9,13.8,6.0
1951-02-27,0.2,8.9,13.4,4.4
1951-02-28,0.8,12.149999999999999,15.1,9.2
1951-03-01,7.8,10.75,15.3,6.2
1951-03-02,0.0,4.3999999999999995,8.1,0.7
1951-03-03,0.0,2.45,7.5,-2.6
1951-03-04,0.0,1.5,7.4,-4.4
1951-03-05,0.0,2.55,7.6,-2.5
1951-03-06,34.1,5.95,11.3,0.6
1951-03-07,1.0,7.25,11.0,3.5
1951-03-08,0.0,5.45,10.8,0.1
1951-03-09,0.0,7.0,15.8,-1.8
1951-03-10,12.2,10.2,13.2,7.2
1951-03-11,0.0,10.45,16.8,4.1
1951-03-12,0.5,5.45,10.0,0.9
1951-03-13,0.0,5.65,12.0,-0.7
1951-03-14,0.0,7.4,15.0,-0.2
1951-03-15,0.0,12.4,19.1,5.7
1951-03-16,0.0,10.1,17.7,2.5
1951-03-17,7.2,11.450000000000001,18.1,4.8
1951-03-18,0.0,11.950000000000001,17.6,6.3
